platform,post_type,topic,day_of_week,is_weekend,post_hour,followers,hashtags_count,caption_length,sentiment,likes,comments,shares,engagement_rate
Facebook,Story,Entertainment,Tuesday,0,23,343150,4,218,Positive,4342,364,1351,1.765
LinkedIn,Text,Fashion,Friday,0,9,180641,9,417,Positive,3085,437,342,2.139
TikTok,Carousel,Travel,Monday,0,0,45514,5,100,Negative,1686,251,112,4.503
LinkedIn,Text,Travel,Monday,0,14,206262,21,187,Neutral,1968,146,518,1.276
YouTube,Video,Travel,Tuesday,0,9,346741,18,69,Negative,6093,600,1861,2.467
YouTube,Carousel,Business,Thursday,0,15,167003,10,61,Positive,5553,799,1350,4.612
Instagram,Video,Business,Wednesday,0,3,302008,2,164,Positive,5695,425,1436,2.502
YouTube,Image,Entertainment,Tuesday,0,19,219330,2,298,Negative,4803,540,500,2.664
LinkedIn,Image,Food,Wednesday,0,10,169104,29,95,Negative,816,101,109,0.607
LinkedIn,Text,Fashion,Wednesday,0,10,127882,10,64,Negative,1454,249,49,1.37
Instagram,Image,Food,Thursday,0,19,130737,3,527,Positive,4478,430,365,4.033
LinkedIn,Text,Travel,Thursday,0,13,128226,22,313,Neutral,1093,100,303,1.167
TikTok,Carousel,Food,Sunday,1,0,359521,26,432,Positive,8530,538,1538,2.95
LinkedIn,Carousel,Travel,Saturday,1,13,168997,3,438,Negative,2150,174,468,1.652
Instagram,Reel,Fashion,Wednesday,0,15,370810,29,69,Positive,5040,814,657,1.756
LinkedIn,Text,Fitness,Sunday,1,7,155874,22,375,Negative,1388,175,290,1.189
YouTube,Reel,Fitness,Thursday,0,4,163939,7,517,Positive,4087,380,972,3.318
TikTok,Reel,Travel,Tuesday,0,1,462155,24,274,Positive,12256,2192,845,3.309
Instagram,Image,Entertainment,Wednesday,0,20,438175,13,518,Negative,9421,1529,929,2.711
YouTube,Video,Entertainment,Saturday,1,0,200651,19,568,Neutral,5703,469,1455,3.801
YouTube,Text,Entertainment,Saturday,1,14,134779,3,332,Neutral,1807,194,517,1.868
Facebook,Story,Tech,Wednesday,0,20,357955,7,70,Neutral,5317,912,529,1.888
TikTok,Image,Entertainment,Tuesday,0,8,35397,23,374,Positive,972,143,84,3.388
Twitter,Image,Food,Tuesday,0,4,228498,24,529,Negative,770,142,71,0.43
LinkedIn,Story,Travel,Monday,0,17,300133,0,351,Neutral,3580,295,1236,1.703
Twitter,Story,Food,Friday,0,15,338050,6,482,Positive,4146,712,727,1.652
TikTok,Video,Fashion,Thursday,0,0,53981,18,325,Neutral,1830,129,282,4.151
YouTube,Carousel,Entertainment,Thursday,0,13,1996,28,257,Positive,27,3,3,1.669
TikTok,Text,Fitness,Friday,0,0,138693,20,567,Positive,2046,365,506,2.103
YouTube,Video,Entertainment,Saturday,1,9,60061,21,100,Neutral,1729,272,243,3.736
YouTube,Video,Entertainment,Saturday,1,7,253839,12,274,Positive,9742,639,2344,5.013
Instagram,Carousel,Food,Monday,0,20,459792,1,101,Positive,14842,1306,2455,4.046
Facebook,Text,Business,Friday,0,23,143536,23,396,Neutral,1216,216,260,1.179
TikTok,Video,Travel,Sunday,1,16,227127,24,553,Neutral,6235,492,1134,3.461
LinkedIn,Carousel,Travel,Saturday,1,17,107890,13,598,Positive,3482,342,311,3.833
Instagram,Video,Business,Wednesday,0,0,22466,15,147,Negative,775,70,180,4.562
Instagram,Reel,Fitness,Wednesday,0,1,351741,7,439,Negative,8042,655,2017,3.046
LinkedIn,Image,Entertainment,Sunday,1,18,128571,14,525,Positive,3378,641,777,3.73
LinkedIn,Video,Business,Monday,0,10,273726,7,501,Positive,6306,500,2093,3.251
Facebook,Video,Fitness,Thursday,0,12,341704,13,306,Neutral,5670,700,382,1.976
Facebook,Story,Entertainment,Monday,0,16,419960,4,112,Negative,5505,776,224,1.549
Instagram,Story,Tech,Sunday,1,8,93193,18,282,Positive,2650,211,920,4.057
LinkedIn,Text,Business,Monday,0,16,290829,7,467,Negative,3198,434,198,1.317
Instagram,Image,Food,Monday,0,17,455426,22,375,Positive,3015,346,792,0.912
LinkedIn,Reel,Travel,Wednesday,0,5,241981,16,239,Positive,6230,1059,655,3.283
Twitter,Carousel,Business,Tuesday,0,16,20785,27,136,Negative,168,27,15,1.008
Twitter,Story,Fashion,Thursday,0,4,130997,6,394,Positive,1188,204,184,1.203
TikTok,Carousel,Entertainment,Wednesday,0,7,397474,8,262,Positive,20389,2351,3422,6.582
LinkedIn,Story,Travel,Wednesday,0,18,396136,7,288,Negative,7434,1238,689,2.363
TikTok,Reel,Food,Thursday,0,23,157589,19,563,Neutral,4724,732,1024,4.112
TikTok,Video,Food,Thursday,0,1,98837,3,15,Neutral,3717,385,275,4.428
YouTube,Reel,Food,Sunday,1,15,146239,21,150,Negative,2451,195,709,2.294
TikTok,Video,Entertainment,Thursday,0,13,121493,25,552,Neutral,2352,190,811,2.76
LinkedIn,Carousel,Tech,Thursday,0,14,370613,20,553,Neutral,6513,581,644,2.088
Twitter,Video,Travel,Friday,0,18,420873,4,188,Positive,9339,977,1902,2.903
Facebook,Reel,Business,Tuesday,0,1,23777,15,596,Neutral,409,77,52,2.261
LinkedIn,Video,Travel,Friday,0,17,370725,16,134,Positive,12263,2481,1798,4.462
Instagram,Text,Travel,Sunday,1,6,376352,12,40,Negative,6535,598,2152,2.467
YouTube,Text,Food,Wednesday,0,3,306630,14,191,Neutral,3545,692,556,1.563
YouTube,Reel,Tech,Tuesday,0,10,435711,23,323,Positive,6773,1077,1073,2.048
Instagram,Story,Fitness,Wednesday,0,0,19940,25,13,Negative,166,21,26,1.069
TikTok,Image,Entertainment,Tuesday,0,15,350026,9,111,Positive,13022,2464,1455,4.84
Instagram,Story,Travel,Friday,0,13,64065,10,476,Positive,1688,246,95,3.167
TikTok,Image,Travel,Sunday,1,12,448554,6,376,Negative,10580,1383,682,2.819
Instagram,Text,Tech,Friday,0,0,250228,12,367,Negative,4151,394,1008,2.219
Twitter,Carousel,Entertainment,Monday,0,18,45886,16,593,Negative,786,69,76,2.03
LinkedIn,Text,Entertainment,Wednesday,0,0,373296,22,144,Neutral,4247,722,149,1.371
TikTok,Reel,Entertainment,Friday,0,6,374734,8,539,Negative,16100,1372,1714,5.12
Twitter,Story,Food,Wednesday,0,9,232318,6,219,Positive,3791,250,663,2.025
YouTube,Carousel,Fitness,Friday,0,16,155556,1,555,Neutral,4434,466,1176,3.906
TikTok,Story,Travel,Friday,0,9,9137,2,472,Positive,201,27,47,3.014
Facebook,Video,Fashion,Wednesday,0,19,454027,1,135,Neutral,10248,1081,925,2.699
TikTok,Video,Fashion,Friday,0,22,92542,6,133,Positive,4553,842,472,6.34
TikTok,Carousel,Food,Wednesday,0,18,421424,21,329,Positive,20572,2267,1840,5.856
Twitter,Text,Travel,Monday,0,0,294588,24,306,Neutral,2061,354,136,0.866
TikTok,Reel,Tech,Wednesday,0,18,342758,30,148,Negative,2669,399,579,1.064
YouTube,Reel,Fitness,Thursday,0,4,347261,16,163,Neutral,6294,851,1161,2.392
TikTok,Video,Travel,Monday,0,21,429116,14,540,Neutral,25859,2020,2717,7.13
TikTok,Video,Entertainment,Sunday,1,23,17197,27,454,Neutral,319,35,100,2.638
LinkedIn,Story,Fashion,Thursday,0,2,495596,4,122,Neutral,7297,1236,507,1.824
Facebook,Carousel,Tech,Monday,0,2,22144,19,437,Positive,323,49,10,1.724
TikTok,Video,Food,Sunday,1,16,499532,25,100,Neutral,12944,1714,3430,3.621
Twitter,Story,Entertainment,Saturday,1,3,131024,15,272,Negative,1094,208,175,1.127
LinkedIn,Carousel,Food,Monday,0,23,423002,8,17,Positive,10043,1694,1105,3.036
Facebook,Story,Fitness,Tuesday,0,12,42209,19,393,Neutral,542,40,74,1.555
Facebook,Story,Business,Wednesday,0,13,230731,30,117,Negative,460,66,67,0.257
Instagram,Story,Fashion,Thursday,0,20,271202,7,149,Neutral,7379,1352,1678,3.838
YouTube,Text,Fitness,Saturday,1,5,477185,17,121,Positive,6290,1144,1313,1.833
Instagram,Reel,Fashion,Wednesday,0,13,62289,1,118,Neutral,2407,188,587,5.109
Instagram,Story,Food,Friday,0,23,18722,7,55,Negative,395,38,95,2.819
YouTube,Video,Food,Monday,0,0,324285,23,337,Positive,6206,773,1488,2.611
LinkedIn,Image,Fitness,Friday,0,4,25097,15,521,Neutral,423,38,51,2.04
Twitter,Video,Entertainment,Sunday,1,3,388724,6,187,Negative,5052,437,1687,1.846
TikTok,Text,Fashion,Thursday,0,8,19644,10,470,Positive,641,88,49,3.963
Twitter,Text,Food,Thursday,0,3,485273,3,330,Neutral,3983,479,289,0.979
Instagram,Image,Business,Wednesday,0,4,266588,24,160,Negative,2342,193,413,1.106
TikTok,Text,Travel,Sunday,1,20,474229,29,46,Neutral,4205,575,517,1.117
Facebook,Video,Travel,Monday,0,11,63760,3,472,Neutral,1338,104,410,2.905
LinkedIn,Text,Fitness,Wednesday,0,8,137045,7,23,Positive,1734,195,279,1.611
YouTube,Text,Tech,Monday,0,10,227714,26,259,Negative,1102,188,167,0.64
YouTube,Text,Entertainment,Sunday,1,23,15190,27,30,Neutral,87,17,15,0.784
Twitter,Carousel,Food,Thursday,0,11,51912,23,467,Negative,473,45,83,1.158
TikTok,Carousel,Fitness,Sunday,1,11,165041,22,593,Neutral,3805,739,891,3.293
LinkedIn,Reel,Travel,Friday,0,22,368653,26,200,Neutral,4464,838,718,1.633
Twitter,Reel,Business,Thursday,0,0,354385,11,195,Neutral,8616,1194,981,3.045
Instagram,Reel,Fitness,Thursday,0,11,43860,27,343,Negative,522,101,56,1.548
Twitter,Carousel,Fashion,Tuesday,0,17,30370,27,306,Negative,203,21,57,0.926
LinkedIn,Carousel,Fashion,Thursday,0,12,328186,7,235,Positive,10665,867,3699,4.641
YouTube,Video,Entertainment,Friday,0,20,180176,2,225,Negative,4821,875,814,3.613
Instagram,Text,Travel,Sunday,1,21,396165,16,120,Negative,6121,775,928,1.975
TikTok,Image,Fashion,Thursday,0,8,149368,23,157,Positive,4143,449,718,3.555
YouTube,Carousel,Fashion,Sunday,1,19,181734,26,355,Positive,3072,237,960,2.349
YouTube,Video,Tech,Sunday,1,5,110063,4,443,Negative,1720,123,329,1.973
Twitter,Text,Entertainment,Thursday,0,5,133617,11,452,Negative,680,47,73,0.599
Instagram,Story,Entertainment,Thursday,0,23,353212,23,314,Neutral,4480,389,818,1.61
Facebook,Story,Food,Monday,0,0,235881,1,454,Neutral,2718,513,258,1.479
YouTube,Carousel,Fashion,Tuesday,0,8,329718,22,359,Negative,5321,524,861,2.034
YouTube,Image,Food,Sunday,1,15,39787,9,220,Positive,1402,222,61,4.234
LinkedIn,Video,Tech,Monday,0,9,267979,0,218,Positive,9406,580,1186,4.169
Instagram,Image,Travel,Wednesday,0,20,229593,7,316,Negative,5108,595,1531,3.151
Instagram,Reel,Fitness,Friday,0,6,455431,22,191,Positive,14437,2778,2542,4.338
Twitter,Story,Entertainment,Tuesday,0,13,212028,26,460,Neutral,1131,108,338,0.744
LinkedIn,Text,Food,Sunday,1,3,52017,2,119,Neutral,428,41,55,1.007
Instagram,Video,Fashion,Friday,0,5,348738,14,42,Neutral,6682,1254,1518,2.711
TikTok,Image,Tech,Monday,0,4,75269,6,299,Positive,1823,136,223,2.899
LinkedIn,Story,Food,Tuesday,0,17,454580,21,52,Negative,2346,185,806,0.734
Instagram,Video,Fitness,Saturday,1,4,192033,24,123,Negative,2105,390,168,1.387
Instagram,Image,Tech,Sunday,1,16,392374,29,231,Positive,4340,530,984,1.492
Twitter,Video,Business,Sunday,1,8,328113,11,12,Neutral,7929,1191,1170,3.136
TikTok,Video,Travel,Saturday,1,13,232703,9,141,Positive,11721,959,2616,6.573
TikTok,Text,Business,Monday,0,20,292247,9,331,Positive,9012,799,1283,3.796
Twitter,Story,Travel,Saturday,1,20,91767,23,231,Negative,594,74,99,0.836
Facebook,Video,Fashion,Monday,0,0,37484,13,538,Neutral,846,130,133,2.958
YouTube,Reel,Tech,Monday,0,18,383265,0,65,Neutral,15935,1561,2188,5.136
Twitter,Image,Travel,Friday,0,22,479233,29,434,Negative,1841,304,50,0.458
Facebook,Image,Travel,Thursday,0,16,431028,3,359,Negative,3463,542,223,0.981
Twitter,Image,Business,Friday,0,4,152879,28,390,Negative,409,53,43,0.33
Instagram,Story,Entertainment,Saturday,1,15,179334,5,406,Negative,3849,477,652,2.776
Facebook,Text,Fashion,Monday,0,15,179806,16,40,Neutral,2331,312,148,1.552
LinkedIn,Reel,Food,Thursday,0,15,351426,9,477,Neutral,6788,1082,912,2.499
YouTube,Image,Fashion,Saturday,1,10,312003,21,205,Positive,10438,789,1206,3.985
TikTok,Image,Tech,Thursday,0,12,398340,12,393,Negative,7321,1207,395,2.24
TikTok,Story,Tech,Thursday,0,15,472610,11,183,Positive,13710,1877,3388,4.015
LinkedIn,Image,Tech,Thursday,0,11,196494,14,243,Negative,2229,452,471,1.604
Instagram,Image,Travel,Sunday,1,18,331512,30,423,Negative,1364,245,72,0.507
Twitter,Text,Fashion,Monday,0,17,250459,7,561,Positive,2606,172,468,1.296
YouTube,Text,Fashion,Sunday,1,7,477409,6,528,Negative,6459,723,991,1.712
Instagram,Video,Tech,Saturday,1,14,177326,2,438,Negative,5749,697,346,3.83
YouTube,Carousel,Business,Saturday,1,18,94201,22,327,Neutral,2073,276,303,2.815
TikTok,Reel,Fitness,Wednesday,0,11,189729,21,321,Neutral,4931,867,757,3.455
Facebook,Carousel,Entertainment,Thursday,0,17,309595,18,579,Negative,4443,363,856,1.829
TikTok,Carousel,Tech,Wednesday,0,3,476705,0,132,Neutral,10008,1595,2608,2.981
YouTube,Image,Fashion,Tuesday,0,9,414525,24,572,Positive,6152,1128,538,1.886
Instagram,Carousel,Travel,Sunday,1,16,9670,25,392,Positive,229,41,4,2.837
Instagram,Reel,Fitness,Thursday,0,21,254757,29,373,Negative,2081,151,738,1.166
LinkedIn,Text,Tech,Saturday,1,15,79982,28,359,Neutral,424,76,13,0.642
YouTube,Story,Fashion,Monday,0,15,181405,8,489,Positive,3900,296,559,2.621
Instagram,Image,Food,Saturday,1,8,472001,22,413,Negative,7393,1071,1863,2.188
LinkedIn,Image,Tech,Friday,0,16,492386,12,65,Positive,16199,1462,1926,3.978
Instagram,Text,Food,Sunday,1,8,77261,18,470,Positive,1537,209,141,2.443
LinkedIn,Video,Business,Monday,0,1,70923,10,439,Neutral,1208,84,270,2.203
LinkedIn,Text,Travel,Thursday,0,5,348307,20,549,Positive,2713,272,697,1.057
Instagram,Story,Travel,Thursday,0,14,205759,29,562,Neutral,1008,109,239,0.659
TikTok,Carousel,Travel,Thursday,0,23,216699,20,569,Negative,5549,992,467,3.234
YouTube,Text,Entertainment,Monday,0,11,436750,28,35,Negative,1979,291,416,0.615
YouTube,Reel,Travel,Thursday,0,20,460338,28,381,Negative,4164,672,725,1.208
Instagram,Image,Travel,Wednesday,0,18,450290,3,561,Positive,16034,2246,817,4.241
Facebook,Story,Entertainment,Friday,0,13,391598,29,579,Positive,1829,202,229,0.577
Facebook,Video,Fashion,Tuesday,0,19,490200,25,334,Negative,4648,295,792,1.17
Twitter,Reel,Tech,Thursday,0,9,360070,13,547,Neutral,8412,605,957,2.77
Instagram,Text,Travel,Friday,0,10,442481,18,529,Negative,4630,633,1343,1.493
YouTube,Image,Food,Monday,0,17,270419,19,11,Positive,6586,1289,1065,3.306
TikTok,Reel,Fashion,Saturday,1,15,25953,24,532,Negative,748,70,118,3.607
TikTok,Video,Tech,Saturday,1,12,408320,24,386,Neutral,10083,1578,1507,3.225
Facebook,Text,Entertainment,Monday,0,10,464918,3,348,Negative,3070,568,644,0.921
Instagram,Story,Fitness,Monday,0,23,156501,0,115,Positive,3569,614,185,2.791
YouTube,Story,Fitness,Saturday,1,1,214369,7,552,Neutral,2888,324,872,1.905
Facebook,Story,Tech,Tuesday,0,1,286270,16,184,Negative,2567,470,247,1.147
LinkedIn,Carousel,Food,Sunday,1,11,325983,26,256,Neutral,4365,617,583,1.707
YouTube,Text,Fitness,Thursday,0,0,337538,20,185,Neutral,4301,545,561,1.602
Instagram,Video,Travel,Wednesday,0,8,197440,4,582,Positive,7502,1283,1253,5.084
Instagram,Story,Fitness,Tuesday,0,13,427279,22,295,Negative,4449,467,1408,1.48
Instagram,Carousel,Fitness,Friday,0,9,406927,14,77,Positive,21557,3395,916,6.357
Instagram,Reel,Food,Monday,0,4,471162,11,16,Neutral,15451,2117,840,3.907
Instagram,Carousel,Business,Wednesday,0,6,288171,23,588,Negative,3340,562,423,1.501
TikTok,Reel,Fashion,Wednesday,0,14,39190,9,149,Neutral,1846,356,423,6.698
LinkedIn,Video,Tech,Tuesday,0,22,422849,19,464,Neutral,11483,1630,1475,3.45
YouTube,Reel,Entertainment,Wednesday,0,18,40205,5,27,Positive,1700,122,453,5.659
TikTok,Image,Tech,Thursday,0,13,97288,11,539,Neutral,1949,214,517,2.755
YouTube,Image,Fashion,Friday,0,3,142944,17,393,Negative,1130,215,213,1.09
Facebook,Carousel,Tech,Monday,0,5,92899,19,142,Positive,1393,216,308,2.063
Facebook,Carousel,Fashion,Sunday,1,10,362008,28,534,Neutral,1729,321,256,0.637
YouTube,Reel,Food,Sunday,1,5,220468,9,185,Neutral,4099,489,935,2.505
Facebook,Carousel,Tech,Friday,0,16,110054,27,598,Positive,1199,146,107,1.319
Instagram,Image,Travel,Sunday,1,8,2873,25,363,Negative,35,6,4,1.555
TikTok,Video,Entertainment,Wednesday,0,20,108587,11,274,Neutral,4949,817,710,5.964
TikTok,Carousel,Tech,Saturday,1,6,346580,4,44,Positive,13150,1598,3468,5.256
YouTube,Text,Entertainment,Saturday,1,11,397249,7,163,Neutral,5321,334,745,1.611
YouTube,Text,Food,Thursday,0,17,148378,20,44,Negative,1520,296,330,1.446
Instagram,Video,Fitness,Tuesday,0,4,37085,24,513,Negative,335,59,61,1.227
TikTok,Text,Travel,Thursday,0,18,278871,18,69,Neutral,6030,722,850,2.726
YouTube,Text,Food,Sunday,1,14,391556,22,76,Neutral,5323,691,595,1.688
TikTok,Reel,Tech,Sunday,1,15,35466,3,83,Negative,1434,123,191,4.93
TikTok,Text,Fitness,Thursday,0,10,397873,15,584,Positive,7378,884,1426,2.435
YouTube,Reel,Entertainment,Tuesday,0,22,85736,27,582,Positive,972,86,235,1.508
Twitter,Video,Travel,Saturday,1,18,129323,12,431,Neutral,3288,314,821,3.42
Instagram,Reel,Fitness,Monday,0,4,311618,27,53,Neutral,3641,624,372,1.488
Twitter,Image,Fitness,Tuesday,0,13,26160,3,307,Neutral,305,35,65,1.547
Facebook,Image,Food,Thursday,0,21,153178,30,569,Positive,528,93,84,0.46
Instagram,Story,Tech,Sunday,1,6,69873,24,67,Negative,815,113,232,1.66
Instagram,Carousel,Travel,Wednesday,0,12,107753,19,478,Neutral,3013,204,360,3.32
TikTok,Text,Entertainment,Thursday,0,18,386813,19,20,Negative,6421,780,1854,2.341
LinkedIn,Text,Food,Wednesday,0,6,114808,29,484,Negative,395,35,104,0.465
LinkedIn,Reel,Entertainment,Thursday,0,12,22227,11,331,Negative,605,86,31,3.247
TikTok,Video,Business,Monday,0,13,107802,5,533,Neutral,4139,721,248,4.738
LinkedIn,Video,Fashion,Friday,0,4,43833,28,254,Neutral,344,55,38,0.997
LinkedIn,Image,Fitness,Friday,0,4,311614,3,473,Positive,4101,656,375,1.647
Instagram,Story,Business,Wednesday,0,13,486433,20,507,Neutral,7383,1407,1542,2.124
YouTube,Video,Travel,Tuesday,0,4,84261,8,201,Negative,1928,300,120,2.786
Twitter,Text,Fitness,Saturday,1,22,364564,28,388,Neutral,1296,188,273,0.482
Instagram,Carousel,Entertainment,Tuesday,0,12,181671,30,281,Positive,1425,205,60,0.93
TikTok,Image,Fitness,Monday,0,16,36376,14,264,Positive,1567,195,371,5.863
TikTok,Carousel,Business,Monday,0,9,344099,16,481,Neutral,11751,845,2207,4.302
Instagram,Image,Business,Sunday,1,7,105345,14,143,Neutral,2786,430,348,3.383
Facebook,Video,Business,Wednesday,0,11,257078,13,80,Negative,3084,522,669,1.663
Instagram,Image,Business,Monday,0,17,253799,29,293,Negative,839,80,193,0.438
Facebook,Reel,Fashion,Sunday,1,9,298841,8,494,Neutral,11058,1967,507,4.528
Instagram,Text,Tech,Tuesday,0,6,67904,29,106,Neutral,351,27,102,0.707
TikTok,Story,Fashion,Wednesday,0,3,125828,20,210,Negative,1611,236,61,1.516
LinkedIn,Carousel,Fashion,Monday,0,13,368804,29,403,Positive,2506,494,367,0.913
YouTube,Video,Fitness,Friday,0,16,466391,18,291,Neutral,10432,1063,1643,2.817
TikTok,Text,Travel,Friday,0,12,6356,25,367,Neutral,74,13,6,1.47
LinkedIn,Story,Travel,Saturday,1,6,207232,15,321,Negative,2266,390,285,1.419
LinkedIn,Text,Tech,Tuesday,0,5,440756,14,487,Negative,2220,346,215,0.631
Instagram,Image,Fitness,Wednesday,0,9,143838,7,526,Neutral,2148,385,114,1.84
Instagram,Video,Food,Sunday,1,8,224083,6,275,Neutral,6076,884,704,3.42
LinkedIn,Story,Business,Saturday,1,4,452210,1,264,Negative,4864,617,723,1.372
Instagram,Text,Tech,Monday,0,22,484497,11,174,Neutral,8653,1286,1001,2.258
Instagram,Story,Food,Friday,0,7,327817,30,271,Positive,1872,224,366,0.751
Facebook,Text,Tech,Saturday,1,6,347221,29,503,Positive,1428,166,416,0.579
YouTube,Image,Fashion,Thursday,0,14,307165,21,305,Negative,3522,283,1060,1.584
Twitter,Story,Entertainment,Friday,0,19,142171,11,417,Neutral,2076,230,318,1.846
TikTok,Reel,Travel,Monday,0,11,443423,16,256,Positive,24828,3856,906,6.673
Twitter,Reel,Travel,Monday,0,16,17519,23,426,Negative,173,36,37,1.405
Facebook,Story,Fashion,Monday,0,2,29740,0,430,Negative,244,46,22,1.048
Twitter,Video,Fashion,Tuesday,0,12,301097,28,321,Neutral,2508,240,651,1.129
Instagram,Story,Fitness,Sunday,1,1,418920,26,561,Positive,4731,646,655,1.44
TikTok,Video,Entertainment,Friday,0,3,407212,30,526,Negative,1118,148,110,0.338
Facebook,Story,Business,Saturday,1,14,339093,2,103,Positive,5650,471,851,2.056
Twitter,Video,Business,Wednesday,0,4,188459,29,144,Neutral,806,108,83,0.529
YouTube,Text,Travel,Sunday,1,0,180316,19,573,Negative,2174,230,257,1.476
LinkedIn,Reel,Tech,Tuesday,0,4,213114,17,246,Neutral,2512,510,511,1.658
Twitter,Image,Business,Sunday,1,18,128547,5,193,Positive,2007,195,383,2.011
LinkedIn,Image,Business,Monday,0,14,209860,15,479,Positive,4753,858,819,3.064
TikTok,Story,Travel,Monday,0,9,52850,11,365,Neutral,1373,229,36,3.1
Facebook,Image,Tech,Monday,0,23,160275,30,88,Negative,351,53,26,0.268
LinkedIn,Text,Fitness,Saturday,1,9,470566,10,64,Negative,4145,414,1229,1.23
YouTube,Story,Entertainment,Tuesday,0,21,353611,6,486,Positive,8696,898,2213,3.339
LinkedIn,Text,Fashion,Thursday,0,8,71385,29,461,Positive,244,47,27,0.445
Twitter,Carousel,Fashion,Thursday,0,0,143494,5,218,Negative,2337,159,271,1.928
Instagram,Carousel,Business,Saturday,1,2,130089,28,518,Positive,868,75,269,0.932
Facebook,Text,Food,Wednesday,0,6,141195,29,84,Positive,391,74,33,0.353
YouTube,Text,Business,Monday,0,4,345708,9,522,Neutral,4142,704,668,1.595
LinkedIn,Text,Fitness,Wednesday,0,3,447557,21,56,Neutral,3542,554,348,0.993
Facebook,Image,Fashion,Wednesday,0,9,355221,24,385,Positive,3733,309,640,1.318
Twitter,Text,Tech,Saturday,1,23,244468,16,507,Positive,2393,322,536,1.33
LinkedIn,Reel,Travel,Saturday,1,4,80803,21,375,Positive,1956,321,115,2.96
LinkedIn,Reel,Food,Monday,0,5,71873,4,469,Neutral,1290,150,368,2.516
TikTok,Image,Business,Saturday,1,23,407158,15,212,Positive,19814,1668,2601,5.915
Facebook,Reel,Food,Monday,0,4,338974,15,179,Positive,5723,400,1697,2.307
LinkedIn,Reel,Fashion,Friday,0,19,255388,17,166,Neutral,8344,1188,1051,4.144
Twitter,Video,Entertainment,Wednesday,0,14,288807,29,78,Positive,2001,211,448,0.921
YouTube,Story,Business,Wednesday,0,22,424304,25,173,Positive,5978,1030,545,1.78
Instagram,Text,Fitness,Thursday,0,13,407000,18,155,Neutral,5946,629,1459,1.974
Instagram,Carousel,Entertainment,Wednesday,0,14,44099,12,456,Positive,1319,109,252,3.809
Twitter,Reel,Business,Saturday,1,5,197856,12,135,Neutral,3424,713,746,2.468
LinkedIn,Text,Entertainment,Sunday,1,13,21893,0,107,Neutral,209,41,27,1.265
TikTok,Text,Business,Saturday,1,16,192705,17,442,Neutral,4516,650,315,2.844
Twitter,Video,Food,Thursday,0,23,318676,7,327,Neutral,6089,1130,694,2.483
YouTube,Story,Tech,Thursday,0,2,104597,27,137,Negative,497,42,103,0.614
Twitter,Story,Fitness,Thursday,0,3,75436,23,426,Positive,571,69,80,0.954
Instagram,Image,Business,Saturday,1,0,245720,28,137,Positive,2606,240,560,1.386
Instagram,Reel,Entertainment,Thursday,0,18,262712,30,473,Positive,2360,278,205,1.082
YouTube,Image,Fitness,Thursday,0,1,357193,12,29,Negative,4813,817,699,1.772
Instagram,Carousel,Travel,Wednesday,0,21,7547,13,358,Negative,259,41,8,4.077
YouTube,Story,Fitness,Wednesday,0,8,124367,18,362,Negative,1572,95,223,1.52
Facebook,Video,Tech,Thursday,0,6,390074,13,229,Neutral,7895,920,1530,2.652
Instagram,Carousel,Tech,Friday,0,23,341148,8,416,Neutral,8750,1732,1110,3.398
Facebook,Video,Tech,Thursday,0,17,449815,21,234,Neutral,7416,1008,829,2.057
LinkedIn,Reel,Entertainment,Saturday,1,13,407477,13,395,Positive,17578,1721,2314,5.304
Twitter,Carousel,Business,Saturday,1,21,419521,29,141,Neutral,2803,342,706,0.918
TikTok,Text,Fashion,Thursday,0,18,255567,6,345,Neutral,5654,632,1394,3.005
LinkedIn,Story,Food,Sunday,1,15,479197,13,456,Positive,7158,940,1817,2.069
Twitter,Text,Travel,Tuesday,0,7,208262,16,579,Negative,1790,208,201,1.056
LinkedIn,Reel,Fashion,Sunday,1,23,451596,28,222,Negative,3758,469,429,1.031
YouTube,Image,Food,Wednesday,0,17,196228,17,288,Positive,3857,511,928,2.699
Twitter,Video,Food,Thursday,0,22,222287,2,291,Negative,4476,583,676,2.58
Instagram,Story,Fitness,Tuesday,0,23,342984,10,517,Positive,9128,592,1485,3.267
Twitter,Story,Business,Thursday,0,13,199474,27,577,Negative,504,33,61,0.3
YouTube,Text,Tech,Wednesday,0,8,73976,8,391,Negative,783,94,201,1.457
Facebook,Carousel,Travel,Friday,0,22,448143,10,495,Positive,11281,2095,1753,3.376
YouTube,Video,Entertainment,Monday,0,23,226736,4,59,Neutral,5893,1011,930,3.455
LinkedIn,Story,Entertainment,Saturday,1,2,463505,22,457,Positive,4783,368,875,1.3
LinkedIn,Reel,Business,Sunday,1,15,199858,4,487,Negative,2704,373,676,1.878
Facebook,Video,Business,Thursday,0,14,486431,11,431,Positive,5362,812,1181,1.512
YouTube,Text,Tech,Thursday,0,17,301650,22,354,Positive,3034,364,315,1.231
Instagram,Text,Entertainment,Friday,0,23,384274,27,540,Positive,3156,484,399,1.051
Facebook,Carousel,Business,Tuesday,0,6,377889,6,395,Positive,3070,635,535,1.122
Twitter,Story,Entertainment,Saturday,1,23,101393,10,509,Positive,1356,107,325,1.763
Twitter,Image,Entertainment,Tuesday,0,15,407835,3,116,Neutral,3419,482,846,1.164
Twitter,Video,Fashion,Friday,0,1,472504,13,402,Neutral,5557,746,1063,1.559
